date,deaths
1/31/2021,481
1/30/2021,638
1/29/2021,617
1/28/2021,737
1/27/2021,697
1/26/2021,409
1/25/2021,328
1/24/2021,429
1/23/2021,593
1/22/2021,764
1/21/2021,571
1/20/2021,694
1/19/2021,146
1/18/2021,201
1/17/2021,432
1/16/2021,669
1/15/2021,637
1/14/2021,552
1/13/2021,589
1/12/2021,548
1/11/2021,264
1/10/2021,468
1/9/2021,695
1/8/2021,493
1/7/2021,583
1/6/2021,459
1/5/2021,368
1/4/2021,97
1/3/2021,181
1/2/2021,386
1/1/2021,585
