Date,Cases
1/7/2021,231.877
1/8/2021,251.628
1/9/2021,246.290
1/10/2021,247.668
1/11/2021,251.864
1/12/2021,250.034
1/13/2021,246.200
1/14/2021,239.053
1/15/2021,230.949
1/16/2021,223.662
1/17/2021,218.470
